TxPackets;TxTime;TxId;xPos;yPos
11723;1596;16;32;89
11742;1597;18;63;53
11761;1598;11;99;17
11780;1599;3;17;55
11799;1599;14;8;71
11818;1600;1;71;52
11837;1601;7;42;76
11856;1602;12;40;47
11875;1606;0;65;54
11894;1607;5;31;25
11913;1608;17;17;41
11932;1609;13;87;90
11951;1610;15;3;8
11970;1611;6;78;15
11989;1612;4;59;25
12008;1613;-1;66;72
12027;1613;8;86;96
12046;1615;9;4;40
12065;1615;10;42;16
12084;1616;2;5;26
12103;1616;16;32;89
12122;1617;5;31;25
12141;1617;18;63;53
12160;1618;11;99;17
12179;1619;3;17;55
12198;1619;14;8;71
12217;1620;1;71;52
12236;1621;7;42;76
12255;1622;12;40;47
12274;1626;0;65;54
12293;1628;17;17;41
12312;1629;13;87;90
12331;1630;15;3;8
12350;1631;6;78;15
12369;1632;4;59;25
12388;1633;-1;66;72
12407;1633;8;86;96
12426;1635;9;4;40
12445;1635;10;42;16
12464;1636;2;5;26
12483;1636;16;32;89
12502;1637;5;31;25
12521;1637;18;63;53
12540;1638;11;99;17
12559;1639;3;17;55
12578;1639;14;8;71
12597;1640;1;71;52
12616;1641;7;42;76
12635;1642;12;40;47
12654;1646;0;65;54
12673;1648;17;17;41
12692;1649;13;87;90
12711;1650;15;3;8
12730;1651;6;78;15
12749;1652;4;59;25
12768;1653;-1;66;72
12787;1653;8;86;96
12806;1655;9;4;40
12825;1655;10;42;16
12844;1656;2;5;26
12863;1656;16;32;89
12882;1657;5;31;25
12901;1657;18;63;53
12920;1658;11;99;17
12939;1659;3;17;55
12958;1659;14;8;71
12977;1660;1;71;52
12996;1661;7;42;76
13015;1662;12;40;47
13034;1666;0;65;54
13053;1668;17;17;41
13072;1669;13;87;90
13091;1670;15;3;8
13110;1671;6;78;15
13129;1672;4;59;25
13148;1673;-1;66;72
13167;1673;8;86;96
13186;1675;9;4;40
13205;1675;10;42;16
13224;1676;2;5;26
13243;1676;16;32;89
13262;1677;5;31;25
13281;1677;18;63;53
13300;1678;11;99;17
13319;1679;3;17;55
13338;1679;14;8;71
13357;1680;1;71;52
13376;1681;7;42;76
13395;1682;12;40;47
13414;1686;0;65;54
13433;1688;17;17;41
13452;1689;13;87;90
13471;1690;15;3;8
13490;1691;6;78;15
13509;1692;4;59;25
13528;1693;-1;66;72
13547;1693;8;86;96
13566;1695;9;4;40
13585;1695;10;42;16
13604;1696;2;5;26
13623;1696;16;32;89
13642;1697;5;31;25
13661;1697;18;63;53
13680;1698;11;99;17
13699;1699;3;17;55
13718;1699;14;8;71
13737;1700;1;71;52
13756;1701;7;42;76
13775;1702;12;40;47
13794;1706;0;65;54
13813;1708;17;17;41
13832;1709;13;87;90
13851;1710;15;3;8
13870;1711;6;78;15
13889;1712;4;59;25
13908;1713;-1;66;72
13927;1713;8;86;96
13946;1715;9;4;40
13965;1715;10;42;16
13984;1716;2;5;26
14003;1716;16;32;89
14022;1717;5;31;25
14041;1717;18;63;53
14060;1718;11;99;17
14079;1719;3;17;55
14098;1719;14;8;71
14117;1720;1;71;52
14136;1721;7;42;76
14155;1722;8;86;96
14174;1722;12;40;47
14193;1722;15;3;8
14212;1726;0;65;54
14231;1728;17;17;41
14250;1729;13;87;90
14269;1731;6;78;15
14288;1732;4;59;25
14307;1733;-1;66;72
14326;1735;9;4;40
14345;1735;10;42;16
14364;1736;2;5;26
14383;1736;16;32;89
14402;1737;5;31;25
14421;1737;18;63;53
14440;1738;11;99;17
14459;1739;3;17;55
14478;1739;14;8;71
14497;1740;1;71;52
14516;1741;7;42;76
14535;1742;8;86;96
14554;1742;12;40;47
